method,dataset,variant,main_table_eligible,base_acc,known_aa,novel_aa,auroc_aa,f1_aa,inc_aa,all_aa,inc_pd,all_pd,final_inc,final_inc_std,source_log
TEEN,FSC-89,official-formula-transfer,True,0.5356,0.7009,0.3447,0.6725,0.6418,0.2423,0.3752,0.2036,0.0653,0.1633,0.0064,logs/sota_three_datasets/teen_pure_fsc89_10runs.log
TEEN,LS-100,old-checkpoint-audit,False,0.856,0.794,0.5898,0.87,0.8056,0.478,0.7989,0.1019,0.0716,0.451,0.0232,logs/sota_three_datasets/teen_pure_ls100_10runs.log
TEEN,LS-100,canonical-checkpoint,True,0.9367,0.8373,0.6475,0.902,0.8421,0.6926,0.8939,0.3382,0.0741,0.5596,0.0298,logs/sota_three_datasets/teen_pure_ls100_canonical_10runs.log
TEEN,NS-100,official-formula-transfer,True,0.9985,0.7301,0.7041,0.8564,0.7543,0.5145,0.9344,0.0066,0.0715,0.496,0.0112,logs/sota_three_datasets/teen_pure_ns100_10runs.log
