dataset,method,repeat,session,candidate_total,novel_coverage,candidate_purity,known_leakage,incremental_acc
LS-100,FOWAC,8,4,35,1.0,0.7142857142857143,0.2857142857142857,0.5597
LS-100,FOWAC,9,1,24,0.96,1.0,0.0,0.9013
LS-100,FOWAC,9,2,31,1.0,0.8064516129032258,0.1935483870967742,0.7513
LS-100,FOWAC,9,3,27,0.8,0.7407407407407407,0.25925925925925924,0.5859
LS-100,FOWAC,9,4,38,1.0,0.6578947368421053,0.34210526315789475,0.5492
LS-100,FOWAC,10,1,23,0.92,1.0,0.0,0.9058
LS-100,FOWAC,10,2,23,0.92,1.0,0.0,0.761
LS-100,FOWAC,10,3,20,0.8,1.0,0.0,0.5925
LS-100,FOWAC,10,4,29,1.0,0.8620689655172413,0.13793103448275862,0.5573
NS-100,TEEN,1,1,13,0.52,1.0,0.0,0.516
NS-100,TEEN,1,2,17,0.6,0.8823529411764706,0.11764705882352941,0.48
NS-100,TEEN,1,3,18,0.72,1.0,0.0,0.538
NS-100,TEEN,1,4,25,0.6,0.6,0.4,0.4875
NS-100,TEEN,2,1,19,0.76,1.0,0.0,0.5
NS-100,TEEN,2,2,19,0.52,0.6842105263157895,0.3157894736842105,0.4945
NS-100,TEEN,2,3,35,1.0,0.7142857142857143,0.2857142857142857,0.5193
NS-100,TEEN,2,4,28,0.92,0.8214285714285714,0.17857142857142858,0.4902
NS-100,TEEN,3,1,21,0.8,0.9523809523809523,0.047619047619047616,0.4847
NS-100,TEEN,3,2,11,0.4,0.9090909090909091,0.09090909090909091,0.477
NS-100,TEEN,3,3,19,0.76,1.0,0.0,0.5147
NS-100,TEEN,3,4,29,0.64,0.5517241379310345,0.4482758620689655,0.4692
NS-100,TEEN,4,1,17,0.68,1.0,0.0,0.501
NS-100,TEEN,4,2,28,0.76,0.6785714285714286,0.32142857142857145,0.5172
NS-100,TEEN,4,3,28,0.88,0.7857142857142857,0.21428571428571427,0.5473
NS-100,TEEN,4,4,19,0.56,0.7368421052631579,0.2631578947368421,0.4972
NS-100,TEEN,5,1,13,0.52,1.0,0.0,0.4964
NS-100,TEEN,5,2,16,0.6,0.9375,0.0625,0.514
NS-100,TEEN,5,3,22,0.88,1.0,0.0,0.5613
NS-100,TEEN,5,4,34,0.96,0.7058823529411765,0.29411764705882354,0.5033
NS-100,TEEN,6,1,15,0.6,1.0,0.0,0.4917
NS-100,TEEN,6,2,29,0.96,0.8275862068965517,0.1724137931034483,0.5165
NS-100,TEEN,6,3,32,1.0,0.78125,0.21875,0.5614
NS-100,TEEN,6,4,14,0.44,0.7857142857142857,0.21428571428571427,0.4932
NS-100,TEEN,7,1,16,0.64,1.0,0.0,0.5071
NS-100,TEEN,7,2,16,0.64,1.0,0.0,0.5176
NS-100,TEEN,7,3,23,0.92,1.0,0.0,0.5689
NS-100,TEEN,7,4,17,0.64,0.9411764705882353,0.058823529411764705,0.5007
NS-100,TEEN,8,1,19,0.76,1.0,0.0,0.506
NS-100,TEEN,8,2,19,0.76,1.0,0.0,0.519
NS-100,TEEN,8,3,18,0.72,1.0,0.0,0.5654
NS-100,TEEN,8,4,24,0.96,1.0,0.0,0.5021
NS-100,TEEN,9,1,21,0.8,0.9523809523809523,0.047619047619047616,0.514
NS-100,TEEN,9,2,18,0.72,1.0,0.0,0.5268
NS-100,TEEN,9,3,32,0.96,0.75,0.25,0.5718
NS-100,TEEN,9,4,11,0.44,1.0,0.0,0.5109
NS-100,TEEN,10,1,12,0.48,1.0,0.0,0.5094
NS-100,TEEN,10,2,14,0.56,1.0,0.0,0.5195
NS-100,TEEN,10,3,19,0.72,0.9473684210526315,0.05263157894736842,0.5637
NS-100,TEEN,10,4,17,0.56,0.8235294117647058,0.17647058823529413,0.5052
FSC-89,TEEN,1,1,22,0.88,1.0,0.0,0.446
FSC-89,TEEN,1,2,34,0.8,0.5882352941176471,0.4117647058823529,0.3075
FSC-89,TEEN,1,3,6,0.2,0.8333333333333334,0.16666666666666666,0.227
FSC-89,TEEN,1,4,41,0.96,0.5853658536585366,0.4146341463414634,0.1692
FSC-89,TEEN,2,1,24,0.96,1.0,0.0,0.3905
FSC-89,TEEN,2,2,17,0.16,0.23529411764705882,0.7647058823529411,0.2585
FSC-89,TEEN,2,3,23,0.56,0.6086956521739131,0.391304347826087,0.2012
FSC-89,TEEN,2,4,28,0.96,0.8571428571428571,0.14285714285714285,0.1785
FSC-89,TEEN,3,1,25,1.0,1.0,0.0,0.3497
FSC-89,TEEN,3,2,14,0.28,0.5,0.5,0.2413
FSC-89,TEEN,3,3,38,1.0,0.6578947368421053,0.34210526315789475,0.183
FSC-89,TEEN,3,4,39,0.88,0.5641025641025641,0.4358974358974359,0.166
FSC-89,TEEN,4,1,22,0.88,1.0,0.0,0.3727
FSC-89,TEEN,4,2,10,0.08,0.2,0.8,0.2426
FSC-89,TEEN,4,3,15,0.0,0.0,1.0,0.1783
FSC-89,TEEN,4,4,37,1.0,0.6756756756756757,0.32432432432432434,0.1601
FSC-89,TEEN,5,1,24,0.96,1.0,0.0,0.373
FSC-89,TEEN,5,2,16,0.36,0.5625,0.4375,0.2442
FSC-89,TEEN,5,3,40,1.0,0.625,0.375,0.1851
FSC-89,TEEN,5,4,19,0.08,0.10526315789473684,0.8947368421052632,0.1599
FSC-89,TEEN,6,1,22,0.88,1.0,0.0,0.3668
FSC-89,TEEN,6,2,19,0.68,0.8947368421052632,0.10526315789473684,0.2535
FSC-89,TEEN,6,3,41,1.0,0.6097560975609756,0.3902439024390244,0.1926
FSC-89,TEEN,6,4,37,0.88,0.5945945945945946,0.40540540540540543,0.166
FSC-89,TEEN,7,1,24,0.96,1.0,0.0,0.347
FSC-89,TEEN,7,2,40,1.0,0.625,0.375,0.2416
FSC-89,TEEN,7,3,16,0.24,0.375,0.625,0.1838
FSC-89,TEEN,7,4,13,0.16,0.3076923076923077,0.6923076923076923,0.1597
FSC-89,TEEN,8,1,23,0.92,1.0,0.0,0.3392
FSC-89,TEEN,8,2,15,0.28,0.4666666666666667,0.5333333333333333,0.2356
FSC-89,TEEN,8,3,29,0.76,0.6551724137931034,0.3448275862068966,0.1833
FSC-89,TEEN,8,4,19,0.36,0.47368421052631576,0.5263157894736842,0.1591
FSC-89,TEEN,9,1,22,0.88,1.0,0.0,0.3403
FSC-89,TEEN,9,2,12,0.04,0.08333333333333333,0.9166666666666666,0.2288
FSC-89,TEEN,9,3,22,0.68,0.7727272727272727,0.22727272727272727,0.1801
FSC-89,TEEN,9,4,43,1.0,0.5813953488372093,0.4186046511627907,0.1564
FSC-89,TEEN,10,1,21,0.84,1.0,0.0,0.3439
FSC-89,TEEN,10,2,31,0.88,0.7096774193548387,0.2903225806451613,0.2363
FSC-89,TEEN,10,3,29,0.8,0.6896551724137931,0.3103448275862069,0.1843
FSC-89,TEEN,10,4,11,0.12,0.2727272727272727,0.7272727272727273,0.1576
