dataset,metric,n,pearson_r,pearson_p,spearman_rho,spearman_p
FSC-89,novel_coverage,40,0.31943026992495493,0.04451876502024556,0.1773324474822835,0.273652932172158
FSC-89,candidate_purity,40,0.6624736928871232,3.2154948029094897e-06,0.619410892682702,2.030668531954822e-05
FSC-89,known_leakage,40,-0.6624736928871232,3.2154948029094897e-06,-0.619410892682702,2.030668531954822e-05
LS-100,novel_coverage,40,0.3569197992870021,0.023770528731069038,0.3708468946360012,0.018484895702737734
LS-100,candidate_purity,40,0.7910843270505435,1.2397830026697955e-09,0.7912636591326033,1.2217844089840517e-09
LS-100,known_leakage,40,-0.7910843270505434,1.2397830026698182e-09,-0.7912636591326033,1.2217844089840517e-09
NS-100,novel_coverage,40,0.4845982986159094,0.0015306997513904917,0.44450975384046904,0.004057762299005525
NS-100,candidate_purity,40,0.20943504942219518,0.1946240946944971,0.2555012865086152,0.11155796622622596
NS-100,known_leakage,40,-0.20943504942219515,0.1946240946944971,-0.2555012865086152,0.11155796622622596
