method,dataset,metric,session,n,mean,sample_std,complete_10,source
TEEN,FSC-89,known,1,10,0.9244036999999998,0.04437263749967741,True,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,known,2,10,0.5502133,0.23299128125606855,True,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,known,3,10,0.6591517999999998,0.2970745524760484,True,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,known,4,10,0.6628018999999999,0.2799497529948504,True,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,unknown,1,10,0.5762297000000001,0.10186012547503016,True,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,unknown,2,10,0.315639,0.1580952322965145,True,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,unknown,3,10,0.2454834,0.19782209437337042,True,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,unknown,4,10,0.159771,0.09434425818246704,True,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,auroc,1,10,0.9873600000000001,0.013268107124479627,True,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,auroc,2,10,0.51824,0.21618816495513038,True,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,auroc,3,10,0.5888,0.2307626775137898,True,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,auroc,4,10,0.58944,0.19222830870261193,True,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,f1,1,10,0.9554832,0.027941881960796985,True,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,f1,2,10,0.45124519999999996,0.2840097936792556,True,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,f1,3,10,0.5686904,0.27052234478841525,True,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,f1,4,10,0.5449048999999999,0.2972038804301967,True,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,inc,1,10,0.3439,0.07056509996686276,True,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,inc,2,10,0.2363,0.053235430975160807,True,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,inc,3,10,0.18433320000000003,0.036273196240628025,True,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,inc,4,10,0.15760000000000002,0.023502127563265418,True,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,all,1,10,0.40724330000000003,0.004631951689682823,True,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,all,2,10,0.38453790000000004,0.005398077609462264,True,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,all,3,10,0.36295819999999995,0.0058003850408591085,True,logs/raw_v2_teen_fsc89_10runs.log
TEEN,FSC-89,all,4,10,0.34275289999999997,0.003182969104817414,True,logs/raw_v2_teen_fsc89_10runs.log
FOWAC-UMR,LS-100,known,1,10,0.9736466,0.03067187341378271,True,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,known,2,10,0.9269207000000002,0.08208575027514417,True,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,known,3,10,0.6998300999999999,0.15212906587532835,True,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,known,4,10,0.8488581,0.16357971376430244,True,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,unknown,1,10,0.9876666000000001,0.019863842703095835,True,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,unknown,2,10,0.7595677,0.18197300046255335,True,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,unknown,3,10,0.5240918000000001,0.1709284418851611,True,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,unknown,4,10,0.48085459999999997,0.12883108868092016,True,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,auroc,1,10,1.0,0.0,True,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,auroc,2,10,0.9620799999999999,0.07636189858532562,True,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,auroc,3,10,0.8111999999999998,0.054801135430248574,True,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,auroc,4,10,0.86144,0.10492498060783978,True,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,f1,1,10,0.9855442,0.017101122879312147,True,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,f1,2,10,0.9141603,0.0736557252569155,True,logs/raw_v2_umr_ls100_10runs.log
