method,dataset,metric,n_pairs,baseline_mean,proposed_mean,mean_gain,gain_ci95_low,gain_ci95_high,paired_t_p,wilcoxon_p,complete_10_pairs
FOWAC-BCD,FSC-89,auroc,10,0.67096,0.7214399999999999,0.05047999999999999,0.01172000000000003,0.08519999999999997,0.03344246844133382,0.064453125,True
FOWAC-BCD,FSC-89,aupr,10,0.6743950000000001,0.7212624999999999,0.046867500000000006,0.009901750000000015,0.08161568749999994,0.03911216019781723,0.048828125,True
FOWAC-BCD,FSC-89,fpr95,10,0.5199999999999999,0.501,-0.018999999999999972,-0.045999999999999944,0.005000000000000016,0.19884252418852036,0.20534286667006885,True
FOWAC-BCD,FSC-89,cluster_acc,10,0.32428250000000003,0.3416825,0.01739999999999999,-0.02592756250000001,0.057167999999999955,0.4575449734827812,0.625,True
FOWAC-BCD,FSC-89,nmi,10,0.6693250000000001,0.59042,-0.07890500000000002,-0.1398150625,-0.014594187500000275,0.04171355504248385,0.064453125,True
FOWAC-BCD,FSC-89,ari,10,0.41077250000000004,0.3453025,-0.06547000000000001,-0.11772062500000001,-0.007132500000000019,0.05516735893785501,0.064453125,True
