method,dataset,n_repeats,source_log,auroc_mean,auroc_std,aupr_mean,aupr_std,fpr95_mean,fpr95_std,cluster_acc_mean,cluster_acc_std,nmi_mean,nmi_std,ari_mean,ari_std
TEEN,LS-100,10,logs/raw_v2_teen_ls100_10runs.log,0.9030799999999999,0.029559762440783538,0.9147299999999999,0.032741953634103434,0.34500000000000003,0.06637435917246626,0.6786425,0.06632932258603445,0.87477,0.013394717034877754,0.742545,0.016491276313385962
TEEN,NS-100,10,logs/raw_v2_teen_ns100_10runs.log,0.8942400000000001,0.05759820984872514,0.9084424999999999,0.053341895211196075,0.364,0.1643302907088174,0.7270125,0.07287635957374808,0.8607975,0.02702702723920796,0.7143225,0.060694641501078526
TEEN,FSC-89,10,logs/raw_v2_teen_fsc89_10runs.log,0.67096,0.07603068386440366,0.674395,0.06437301000160442,0.5199999999999999,0.082731157639939,0.3242825,0.05647215150703337,0.6693250000000001,0.08465927297112821,0.41077250000000004,0.10734206191863674
FOWAC-UMR,LS-100,10,logs/raw_v2_umr_ls100_10runs.log,0.90868,0.03677006028460293,0.9131325,0.04430091711177597,0.312,0.0836394378003317,0.6880475,0.0927477466407915,0.861215,0.035237776052286736,0.7220150000000001,0.07372443172607931
FOWAC-DS,LS-100,10,logs/raw_v2_dfsb_ds_ls100_10runs.log,0.9446399999999999,0.018441691896352697,0.9576350000000001,0.026044889667222206,0.26,0.032317865716108854,0.7295874999999999,0.08867024683404863,0.8756074999999999,0.028247900733210818,0.7433425,0.05270032422681204
FOWAC-BCD,FSC-89,10,logs/raw_v2_bcd_fsc89_10runs.log,0.72144,0.06806642507302862,0.7212625000000001,0.05002586032632413,0.501,0.06261877602693229,0.3416825,0.06830479490449001,0.59042,0.07109790862684438,0.3453025,0.0650398098709979
