method,dataset,provenance,seed,base_acc,inc_aa,final_inc,all_aa,auroc_aa,osr_f1_aa,source
OFCL-acoustic-transfer,NS-100,official-component-transfer,3426,0.9985,0.5957916666666667,0.6025,0.9447748796009632,0.9380000000000001,0.8989494301994301,artifacts/ofcl_transfer/ns100/seed3426/metrics.json
OFCL-acoustic-transfer,NS-100,official-component-transfer,3427,0.9985,0.5957916666666667,0.6025,0.9447748796009632,0.9380000000000001,0.8989494301994301,artifacts/ofcl_transfer/ns100/seed3427/metrics.json
OFCL-acoustic-transfer,NS-100,official-component-transfer,3428,0.9985,0.5957916666666667,0.6025,0.9447748796009632,0.9380000000000001,0.8989494301994301,artifacts/ofcl_transfer/ns100/seed3428/metrics.json
OFCL-acoustic-transfer,NS-100,official-component-transfer,3429,0.9985,0.5957916666666667,0.6025,0.9447748796009632,0.9380000000000001,0.8989494301994301,artifacts/ofcl_transfer/ns100/seed3429/metrics.json
OPCR-acoustic,FSC-89,paper-reimplementation,3420,0.5592753623188406,0.0056458333333333326,0.00575,0.4653181963558332,0.6682,0.6689189189189189,artifacts/opcr/fsc89/seed3420/metrics.json
OPCR-acoustic,FSC-89,paper-reimplementation,3421,0.5592753623188406,0.012729166666666666,0.00925,0.4661782116045379,0.6682,0.6689189189189189,artifacts/opcr/fsc89/seed3421/metrics.json
OPCR-acoustic,FSC-89,paper-reimplementation,3422,0.5592753623188406,0.012437499999999999,0.00875,0.46612035981213557,0.6682,0.6689189189189189,artifacts/opcr/fsc89/seed3422/metrics.json
OPCR-acoustic,FSC-89,paper-reimplementation,3423,0.5592753623188406,0.012437499999999999,0.00875,0.46612035981213557,0.6682,0.6689189189189189,artifacts/opcr/fsc89/seed3423/metrics.json
OPCR-acoustic,FSC-89,paper-reimplementation,3424,0.5592753623188406,0.011770833333333333,0.00775,0.4659897752749499,0.6682,0.6689189189189189,artifacts/opcr/fsc89/seed3424/metrics.json
OPCR-acoustic,FSC-89,paper-reimplementation,3425,0.5592753623188406,0.0056458333333333326,0.00575,0.4653181963558332,0.6682,0.6689189189189189,artifacts/opcr/fsc89/seed3425/metrics.json
OPCR-acoustic,FSC-89,paper-reimplementation,3426,0.5592753623188406,0.0120625,0.00825,0.4660476270673522,0.6682,0.6689189189189189,artifacts/opcr/fsc89/seed3426/metrics.json
