method,dataset,repeat,session,auroc,aupr,fpr95,cluster_acc,nmi,ari,source_log
FOWAC-BCD,FSC-89,1,3,0.7984,0.7364,0.68,0.175,0.5828,0.3415,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,1,4,0.7312,0.6067,0.32,0.2258,0.4394,0.1557,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,2,1,1.0,1.0,0.0,0.52,0.3836,0.112,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,2,2,0.56,0.6196,0.88,0.5556,0.7458,0.1562,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,2,3,0.3776,0.4576,0.8,0.087,0.781,0.6669,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,2,4,0.8176,0.6976,0.32,0.25,0.4454,0.17,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,3,1,1.0,1.0,0.0,0.5,0.397,0.0994,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,3,2,0.6752,0.5691,0.48,0.2353,0.5909,0.3481,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,3,3,0.224,0.3958,1.0,0.0833,0.6679,0.3629,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,3,4,0.5568,0.6315,0.8,0.3125,0.7864,0.5847,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,4,1,1.0,1.0,0.0,0.6667,0.6148,0.3478,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,4,2,0.7936,0.8222,0.6,0.4737,0.7382,0.5303,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,4,3,0.5328,0.5028,0.84,0.3462,0.7229,0.4802,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,4,4,0.4768,0.545,0.8,0.0606,0.6249,0.3983,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,5,1,0.9712,0.9786,0.32,0.7273,0.6866,0.4546,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,5,2,0.872,0.8471,0.48,0.3636,0.6803,0.4402,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,5,3,0.7744,0.7393,0.4,0.2941,0.4773,0.2449,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,5,4,0.6032,0.5425,0.68,0.2647,0.5366,0.3107,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,6,1,0.992,0.9933,0.0,0.5,0.3718,0.087,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,6,2,0.448,0.5592,0.72,0.1154,0.8805,0.7589,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,6,3,0.8832,0.8342,0.28,0.1579,0.4356,0.1753,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,6,4,0.3728,0.4109,0.8,0.0,0.0,0.0,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,7,1,0.984,0.9886,0.0,0.6087,0.4866,0.2292,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,7,2,0.8288,0.8119,0.4,0.36,0.5521,0.2366,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,7,3,0.6544,0.7463,0.96,0.2727,0.6464,0.4429,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,7,4,0.6096,0.5704,0.88,0.2857,0.6226,0.3471,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,8,1,0.9632,0.9719,0.32,0.6818,0.5489,0.3071,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,8,2,0.4992,0.4848,1.0,0.2778,0.8043,0.6419,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,8,3,0.784,0.7672,0.52,0.3793,0.6799,0.4811,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,8,4,0.832,0.8256,0.32,0.3529,0.6374,0.3731,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,9,1,0.9808,0.987,0.0,0.619,0.5401,0.289,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,9,2,0.624,0.5342,0.56,0.3529,0.7497,0.4413,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,9,3,0.7728,0.6542,0.32,0.3125,0.4393,0.1613,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,9,4,0.184,0.3858,1.0,0.0952,0.7839,0.5844,logs/raw_v2_bcd_fsc89_10runs.log
